"","PLOT_G.spp","YYYYMMDD","PLOT","SESSION","SUBPLOT","Moisture1_7d_avg","Temp1_7d_avg","abund_sum_prop"
"1","Q. bicolor",2023-04-11,"QUBI",1,1,0.21275,7.3305,0.00135311683463979
"2","Q. bicolor",2023-04-11,"QUBI",1,2,0.21275,7.3305,0.00189747418190867
"3","Q. bicolor",2023-04-11,"QUBI",1,3,0.21275,7.3305,0.00121313923105636
"4","Q. bicolor",2023-04-11,"QUBI",1,4,0.21275,7.3305,0.00144643523702874
"5","Q. bicolor",2023-04-11,"QUBI",1,5,0.21275,7.3305,0.00195968645016797
"6","Q. bicolor",2023-04-11,"QUBI",1,6,0.21275,7.3305,0.00127535149931567
"7","Q. bicolor",2023-05-19,"QUBI",2,1,0.118,12.074,0.00220113304225454
"8","Q. bicolor",2023-05-19,"QUBI",2,2,0.118,12.074,0.00645906253382889
"9","Q. bicolor",2023-05-19,"QUBI",2,3,0.118,12.074,0.00276043733987659
"10","Q. bicolor",2023-05-19,"QUBI",2,4,0.118,12.074,0.00256197452459135
"11","Q. bicolor",2023-05-19,"QUBI",2,5,0.118,12.074,0.00582758993973947
"12","Q. bicolor",2023-05-19,"QUBI",2,6,0.118,12.074,0.00326561541514813
"13","Q. bicolor",2023-06-07,"QUBI",3,1,0.1042,16.415,0.00132798023471279
"14","Q. bicolor",2023-06-07,"QUBI",3,2,0.1042,16.415,0.0077053736874614
"15","Q. bicolor",2023-06-07,"QUBI",3,3,0.1042,16.415,0.0125694873378629
"16","Q. bicolor",2023-06-07,"QUBI",3,4,0.1042,16.415,0.00169857936998147
"17","Q. bicolor",2023-06-07,"QUBI",3,5,0.1042,16.415,0.00137430512662137
"18","Q. bicolor",2023-06-07,"QUBI",3,6,0.1042,16.415,0.00262507720815318
"19","Q. bicolor",2023-06-30,"QUBI",4,1,0.0954,18.295,0.00152471148244103
"20","Q. bicolor",2023-06-30,"QUBI",4,2,0.0954,18.295,0.00178502807700413
"21","Q. bicolor",2023-06-30,"QUBI",4,3,0.0954,18.295,0.00123960283125287
"22","Q. bicolor",2023-06-30,"QUBI",4,4,0.0954,18.295,0.00092970212343965
"23","Q. bicolor",2023-06-30,"QUBI",NA,5,NA,NA,0.00162387970894126
"24","Q. bicolor",2023-06-30,"QUBI",4,6,0.0954,18.295,0.00138835517100321
"25","Q. bicolor",2023-07-21,"QUBI",5,1,0.1339,19.817,0.00111303979117253
"26","Q. bicolor",2023-07-21,"QUBI",5,2,0.1339,19.817,0.0021995786349362
"27","Q. bicolor",2023-07-21,"QUBI",5,3,0.1339,19.817,0.0016298082656455
"28","Q. bicolor",2023-07-21,"QUBI",5,4,0.1339,19.817,0.00298135658349786
"29","Q. bicolor",2023-07-21,"QUBI",5,5,0.1339,19.817,0.00125879500192132
"30","Q. bicolor",2023-07-21,"QUBI",5,6,0.1339,19.817,0.00213332626641402
"31","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.0023936852303922
"32","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.0023936852303922
"33","Q. bicolor",2023-08-24,"QUBI",6,2,0.1506,20.043,0.0011968426151961
"34","Q. bicolor",2023-08-24,"QUBI",6,3,0.1506,20.043,0.00101636634782526
"35","Q. bicolor",2023-08-24,"QUBI",6,4,0.1506,20.043,0.00102586509873952
"36","Q. bicolor",2023-08-24,"QUBI",6,5,0.1506,20.043,0.000778897574968892
"37","Q. bicolor",2023-08-24,"QUBI",6,6,0.1506,20.043,0.000902381336854204
"38","Q. bicolor",2023-09-21,"QUBI",7,2,0.1564,15.557,0.00331120888955179
"39","Q. bicolor",2023-09-21,"QUBI",7,3,0.1564,15.557,0.00298307107166828
"40","Q. bicolor",2023-09-21,"QUBI",NA,4,NA,NA,0.00181967335371765
"41","Q. bicolor",2023-09-21,"QUBI",7,5,0.1564,15.557,0.00180475799835931
"42","Q. bicolor",2023-09-21,"QUBI",7,6,0.1564,15.557,0.00138712804832575
"43","Q. bicolor",2023-11-01,"QUBI",8,1,0.147,11.783,0.0009000036000144
"44","Q. bicolor",2023-11-01,"QUBI",8,2,0.147,11.783,0.00214800859203437
"45","Q. bicolor",2023-11-01,"QUBI",8,3,0.147,11.783,0.00339601358405434
"46","Q. bicolor",2023-11-01,"QUBI",8,4,0.147,11.783,0.0012000048000192
"47","Q. bicolor",2023-11-01,"QUBI",8,5,0.147,11.783,0.00267601070404282
"48","Q. bicolor",2023-11-01,"QUBI",NA,6,NA,NA,0.00118800475201901
"49","Q. bicolor",2023-12-07,"QUBI",9,1,0.1906,4.428,0.000907002055871327
"50","Q. bicolor",2023-12-07,"QUBI",9,2,0.1906,4.428,0.00128189623896481
"51","Q. bicolor",2023-12-07,"QUBI",9,3,0.1906,4.428,0.00114886927077035
"52","Q. bicolor",2023-12-07,"QUBI",9,4,0.1906,4.428,0.00142701656790422
"53","Q. bicolor",2023-12-07,"QUBI",9,5,0.1906,4.428,0.00274519288910388
"54","Q. bicolor",2023-12-07,"QUBI",9,6,0.1906,4.428,0.00119724271375015
